# Single-day moves over 20% that were checked and are genuine (not a data error).
# validate.py stops flagging a move once it is listed here.
symbol,date,note
COSMOFIRST,2025-05-22,Circuit-limit move
CYIENT,2025-01-24,Heavy volume (37.4x average): news-driven
DATAMATICS,2024-08-27,Circuit-limit move
DAVANGERE,2026-08-27,Circuit-limit move
DCI,2025-09-15,Circuit-limit move
DELTACORP,2023-07-12,Heavy volume (32.6x average): news-driven
DELTACORP,2026-04-23,Circuit-limit move
DIFFNKG,2024-10-21,Circuit-limit move
DOLPHIN,2025-11-03,Circuit-limit move
EASEMYTRIP,2022-11-21,Circuit-limit move
EIMCOELECO,2025-04-15,Circuit-limit move
EIMCOELECO,2025-10-08,Circuit-limit move
EKC,2021-04-20,Circuit-limit move
FORCEMOT,2024-02-14,Post-results rally
GENCON,2024-06-18,Circuit-limit move
GODREJCP,2021-05-12,Heavy volume (30.5x average): news-driven
GPTINFRA,2022-09-13,Circuit-limit move
GVPIL,2026-02-13,Circuit-limit move
HCC,2021-12-08,Circuit-limit move
HINDZINC,2024-05-21,Silver price rally
IDEA,2021-09-16,Telecom relief package
IDEA,2022-01-11,Heavy volume (3.3x average): news-driven
IDEA,2023-02-06,Heavy volume (6.1x average): news-driven
IDEA,2023-12-29,Fund-raise news rally
INDOTECH,2023-05-23,Circuit-limit move
IRISDOREME,2023-09-29,Circuit-limit move
ISFT,2023-04-06,Circuit-limit move
JAGSNPHARM,2021-06-01,Circuit-limit move
JAYBARMARU,2026-02-09,Circuit-limit move
JPPOWER,2020-12-11,Circuit-limit move
JTEKTINDIA,2021-05-24,Circuit-limit move
JUBLCPL,2026-08-13,Circuit-limit move
KAPSTON,2023-01-04,Circuit-limit move
KDDL,2026-05-20,Circuit-limit move
KINGFA,2021-12-27,Circuit-limit move
KIRIINDUS,2022-07-06,Circuit-limit move
KOVAI,2021-08-05,Illiquid stock; first trade after stale quotes
KOVAI,2026-04-20,Illiquid stock; first trade after stale quotes
KRISHNADEF,2022-11-09,Heavy volume (5.2x average): news-driven
LLOYDSENGG,2020-12-07,Circuit-limit move
LOKESHMACH,2024-11-07,Circuit-limit move
MCLOUD,2025-11-20,Circuit-limit move
MCLOUD,2025-11-26,Circuit-limit move
MODISONLTD,2026-05-25,Circuit-limit move
MOREPENLAB,2026-08-04,Circuit-limit move
MOTHERSON,2022-01-14,"Jan 2022 group reorganisation (wiring demerger, SAMIL merger) - verify"
MVGJL,2026-09-07,Circuit-limit move
NETWORK18,2024-01-10,Circuit-limit move
NGLFINE,2025-02-10,Circuit-limit move
NIITLTD,2026-06-01,Circuit-limit move
NOVARTIND,2026-04-20,First trade after stale quotes - verify
NPST,2023-01-02,Migration from SME platform
NSLNISP,2025-08-13,Circuit-limit move
OFSS,2024-01-18,Heavy volume (18.7x average): news-driven
OLAELEC,2024-08-12,Circuit-limit move
OMAXAUTO,2026-05-05,Circuit-limit move
OPTIEMUS,2026-09-22,Circuit-limit move
ORIENTBELL,2020-12-23,Circuit-limit move
ORISSAMINE,2024-06-18,Circuit-limit move
PENIND,2025-08-18,Circuit-limit move
PGEL,2025-08-08,Circuit-limit move
PRECAM,2023-04-17,Circuit-limit move
PREMIERPOL,2024-02-29,Circuit-limit move
PTCIL,2024-06-05,Circuit-limit move
RAMKY,2020-12-04,Circuit-limit move
RICOAUTO,2024-03-01,Circuit-limit move
RPSGVENT,2026-03-25,Circuit-limit move
SAIL,2024-06-04,Circuit-limit move
SALASAR,2024-01-23,Heavy volume (4.9x average): news-driven
SBC,2022-11-29,Circuit-limit move
SCI,2021-03-02,Circuit-limit move
SEPC,2026-04-08,Circuit-limit move
SERVOTECH,2026-02-02,Heavy volume (10.8x average): news-driven
SHARDAMOTR,2021-07-01,Circuit-limit move
SIMPLEXINF,2023-08-09,Circuit-limit move
SJVN,2023-09-11,Circuit-limit move
SMLMAH,2026-07-30,Circuit-limit move
SOUTHWEST,2021-07-14,Circuit-limit move
STLNETWORK,2026-04-20,Circuit-limit move
SUBEXLTD,2020-12-01,Circuit-limit move
SUBEXLTD,2023-07-14,Circuit-limit move
SUVEN,2020-12-03,Circuit-limit move
TALBROAUTO,2023-10-27,Circuit-limit move
TALBROAUTO,2023-11-20,Circuit-limit move
TANLA,2022-07-26,Circuit-limit move
TATVA,2025-05-20,Circuit-limit move
TBZ,2024-09-13,Circuit-limit move
THOMASCOOK,2020-11-18,Circuit-limit move
TIIL,2021-06-02,Circuit-limit move
TMPV,2021-10-13,Heavy volume (4.2x average): news-driven
TRIDENT,2021-01-04,Circuit-limit move
TTKHLTCARE,2021-04-22,Circuit-limit move
UFBL,2026-02-02,Heavy volume (65.4x average): news-driven
UGARSUGAR,2022-02-07,Circuit-limit move
UNICHEMLAB,2026-07-08,Circuit-limit move
UNIECOM,2026-02-17,Circuit-limit move
VALIANTORG,2022-03-21,Circuit-limit move
VEDL,2020-10-12,Heavy volume (3.3x average): news-driven
VENUSREM,2023-05-24,First trade after stale quotes
VERANDA,2023-11-15,Circuit-limit move
VSSL,2025-04-23,Circuit-limit move
WHEELS,2024-05-21,Heavy volume (27.7x average): news-driven
WINDMACHIN,2023-11-13,Heavy volume (22.7x average): news-driven
XTRANET,2026-09-04,Circuit-limit move
YATRA,2025-08-11,Circuit-limit move
ZAGGLE,2026-05-14,Circuit-limit move
ZEEL,2021-09-14,Heavy volume (30.3x average): news-driven
ZEEL,2021-09-22,Heavy volume (5.4x average): news-driven
ZEEL,2024-01-23,Heavy volume (7.3x average): news-driven
ZIMLAB,2025-08-04,Circuit-limit move
ZUARIIND,2025-08-20,Circuit-limit move
